Id,SoundName,FileName,FadeInSeconds,FadeOutSeconds,Loop,MaxDistance,MuteInSoundGroup,PanStereo,Pitch,Priority,SpatialBlend,Time,VolumeInSoundGroup
0,,,0,0,false,0,false,0,0,0,0,0,0
1,旧新月大陆主题音乐,BGM/UI_Dating/Sad/BGM_Story_Old_MainCity.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.8
2,旧迷宫背景音乐,BGM/UI_Dating/Sad/BGM_Story_Old_MazeForest.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.8
3,登录背景音乐,BGM/Login/BGM_Common_Login.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.5
4,祈愿音乐,BGM/UI_LotteryUI/LotteryUI01.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.7
5,回忆界面音乐,BGM/Girl_Home/BGM_Girl_MemoryUI.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.7
6,相伴界面音乐,BGM/Girl_Home/BGM_Girl_GirlUI.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.4
7,探索界面音乐,BGM/UI_Explore/BGM_ExploreMainUI_01.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.6
8,档案馆界面音乐,BGM/UI_Library/BGM_LibraryUI_01.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.7
9,誓约界面,BGM/Girl_Home/BGM_Vow_01.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.6
10,主城背景音乐,BGM/MainCity/BGM_Common_MainCity_Day.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.4
11,主城背景音乐,BGM/MainCity/BGM_Common_MainCity_Night.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.8
12,主城背景音乐,BGM/MainCity/BGM_Common_MainCity_Rain.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.8
13,主城背景音乐,BGM/MainCity/BGM_Common_MainCity_Night02.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.5
14,主城背景音乐,BGM/MainCity/BGM_Common_MainCity_Rain02.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.5
15,主城背景音乐,BGM/DressSpine/BGM_SkinMusic01.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.6
16,主城背景音乐,BGM/DressSpine/BGM_SkinMusic02.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.7
17,主城背景音乐,BGM/DressSpine/BGM_SkinMusic03.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.8
20,小镇背景音乐,BGM/Town/BGM_Town_Day.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.8
21,小镇背景音乐,BGM/Town/BGM_Town_Night.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.8
22,小镇背景音乐,BGM/Town/BGM_Town_Rain.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.8
23,小镇背景音乐,BGM/Town/BGM_Town_CalmStreet.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.7
24,小镇背景音乐,BGM/Town/BGM_Town_Church.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.7
25,小镇背景音乐,BGM/Town/BGM_Town_Harbour.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.7
26,小镇背景音乐,BGM/Town/BGM_Town_Wild.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.7
30,家园背景音乐,BGM/Girl_Home/BGM_Home_Day.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.8
31,家园背景音乐,BGM/Girl_Home/BGM_Home_Night01.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.8
32,家园背景音乐,BGM/Girl_Home/BGM_Home_Rain.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.8
33,家园背景音乐,BGM/Girl_Home/BGM_Home_Night02.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.8
34,家园钓鱼BGM,BGM/Girl_Home/BGM_Home_Fish.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.7
35,公会-场景音乐,BGM/Activity03/BGM_Activity05_DreamLandv2.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.6
41,巨木迷宫背景音乐,BGM/UI_MazeMainUI/JMMG/BGM_Maze_Main_Forrest01.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.6
42,命渡川背景音乐,BGM/UI_MazeMainUI/ZMZD/BGM_Maze_Main_Forrest02.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.6
43,巨木迷宫背景音乐,BGM/Battle/JMMG/BGM_Maze_Battle_Forrest01.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.3
44,命渡川背景音乐,BGM/Battle/ZMZD/BGM_Maze_Battle_Forrest02.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.3
45,命渡川背景音乐,BGM/UI_MazeMainUI/ZMZD/BGM_Maze_Main_Forrest03.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.6
46,命渡川背景音乐,BGM/Battle/ZMZD/BGM_Maze_Battle_Forrest03.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.3
47,巨兽裂谷背景音乐,BGM/UI_MazeMainUI/JSLG/BGM_Maze_Main_BehemothVally01.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.6
48,巨兽裂谷背景音乐,BGM/Battle/JSLG/BGM_Maze_Battle_BehemothVally01.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.3
49,巨兽裂谷背景音乐,BGM/UI_MazeMainUI/JSLG/BGM_Maze_Main_BehemothVally02.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.6
50,巨兽裂谷背景音乐,BGM/Battle/JSLG/BGM_Maze_Battle_BehemothVally02.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.3
51,巨兽裂谷背景音乐,BGM/UI_MazeMainUI/JSLG/BGM_Maze_Main_BehemothVally03.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.6
52,巨兽裂谷背景音乐,BGM/Battle/JSLG/BGM_Maze_Battle_BehemothVally03.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.3
53,巨木迷宫背景音乐,BGM/UI_MazeMainUI/JMMG/BGM_Maze_Main_JMMG02.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.6
54,巨木迷宫背景音乐,BGM/Battle/JMMG/BGM_Maze_Battle_JMMG02.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.3
55,星际废墟背景音乐,BGM/UI_MazeMainUI/XJFX/BGM_Maze_Main_XJFX01.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.6
56,星际废墟背景音乐,BGM/Battle/XJFX/BGM_Maze_Battle_XJFX01.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.3
57,星际废墟背景音乐,BGM/UI_MazeMainUI/XJFX/BGM_Maze_Main_XJFX02.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.6
58,星际废墟背景音乐,BGM/Battle/XJFX/BGM_Maze_Battle_XJFX02.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.3
59,星际废墟背景音乐,BGM/UI_MazeMainUI/XJFX/BGM_Maze_Main_XJFX03.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.6
60,星际废墟背景音乐,BGM/Battle/XJFX/BGM_Maze_Battle_XJFX03.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.3
61,怪物剧场背景音乐,BGM/UI_MazeMainUI/GWJC/BGM_Maze_Main_GWJC01.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.6
62,怪物剧场背景音乐,BGM/Battle/GWJC/BGM_Maze_Battle_GWJC01.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.3
63,怪物剧场背景音乐,BGM/UI_MazeMainUI/GWJC/BGM_Maze_Main_GWJC01_2.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.6
64,怪物剧场背景音乐,BGM/Battle/GWJC/BGM_Maze_Battle_GWJC01_2.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.3
65,怪物剧场背景音乐,BGM/UI_MazeMainUI/GWJC/BGM_Maze_Main_GWJC02.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.6
66,怪物剧场背景音乐,BGM/Battle/GWJC/BGM_Maze_Battle_GWJC02.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.3
67,怪物剧场背景音乐,BGM/UI_MazeMainUI/GWJC/BGM_Maze_Main_GWJC02_2.ogg,2,2,TRUE,100,FALSE,0,1,0,0,0,0.6
